=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
              Вермонт СН-151 В хром/ХДП/МБ    Excel
                   Верона К-10 В дерево/МБ    Excel
         Кресло UTFC Бремен М-123 алюминий    Excel
     Кресло UTFC Канзас М-111 пластик/хром    Excel
    Кресло UTFC Онтарио М-105 пластик/хром    Excel
Кресло UTFC Онтарио М-405 Н/п пластик/хром    Excel
                       Престиж Нептун хром    Excel
                  Самба Люкс GTP TG/столик    Excel
                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                    СН-710 Айкью Н пластик    Excel
                          СН-710 Айкью Н/п    Excel
                          Стул кассира Б/п    Excel
                        Честер GTS TG хром    Excel
               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                                     Модель Источник
                       Дэли ch-503 white ch     JSON
                                      Тоник     JSON
                                 Epik е-277     JSON
                              Астек пвм б/п     JSON
                        Комфорт б/п пластик     JSON
                          Логика tg пластик     JSON
                                Престиж cpt     JSON
                               Престиж люкс     JSON
                                Престиж пвм     JSON
                   Самба люкс gtp tg столик     JSON
                   Сириус с-102 нептун хром     JSON
                 Сириус с-102 рондо пластик     JSON
                 Сириус с-102 самба пластик     JSON
                     Фигаро gts к13 tg/хром     JSON
                Фигаро gts к13 пиастра/хром     JSON
                           Айкью сн-710 н_п     JSON
                     Айкью сн-710 н пластик     JSON
                Аляска сн-153 в хром/хдп/мб     JSON
                  Аризона сн-400 в хром/хдп     JSON
   Аризона сн-400 бюджет в пластик-люкс 727     JSON
                      Бремен м-123 алюминий     JSON
               Вермонт сн-151 в хром хдп мб     JSON
                     Гелакси к-49 в хром/мб     JSON
                        Гелакси к-49 в хром     JSON
                           Гермес в пластик     JSON
                              Гермес в хром     JSON
                Дакота сн-251 в пластик 727     JSON
           Дакота сн-251 в пластик-люкс 727     JSON
                       Кайман в топ-ган lux     JSON
Калифорния сн-438 в бюджет пластик-люкс 727     JSON
                   Калифорния в cн-438 хром     JSON
                  Канзас м-111 пластик/хром     JSON
                        Кендо к-41 в дерево     JSON
                       Кендо к-41 в пластик     JSON
                          Кендо к-41 в хром     JSON
                             Надир в дерево     JSON
                   Надир в пластик-люкс 727     JSON
                            Надир в пластик     JSON
                               Надир в хром     JSON
                 Онтарио м-105 пластик/хром     JSON
             Онтарио м-405 н/п пластик/хром     JSON
                                 Ройс м-704     JSON
                    Эфир с-30 в пластик 727     JSON
                              Палермо м-702     JSON
                                      Изо-2     JSON
                                      Изо-3     JSON
                                    Клуб 4l     JSON
                                    Клуб 4к     JSON
                                   Клуб gts     JSON
                                       Клуб     JSON
                        Фигаро к13 н/п хром     JSON
                                  Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                     Кресло UTFC Номи М-317            typeofproduct                  -              К               Да
                     Кресло UTFC Номи М-317         recommended_load       min=-, max=-  min=-, max=90               Да
                     Кресло UTFC Номи М-317                 max_load       min=-, max=- min=-, max=120               Да
                     Кресло UTFC Номи М-317            package_width                720          13.45               Да
                     Кресло UTFC Номи М-317            package_depth                335            720               Да
                     Кресло UTFC Номи М-317           package_height                645          335.0               Да
                     Кресло UTFC Номи М-317                   volume               0,16          645.0               Да
                    Кресло UTFC Осака М-201            package_width                  -            630               Да
                    Кресло UTFC Осака М-201              minpromtorg                  -              -               Да
                    Кресло UTFC Осака М-201                   volume                  -           0.15               Да
                    Кресло UTFC Осака М-201                 skeleton                  -   немонолитный               Да
                    Кресло UTFC Осака М-201           package_height                  -          630.0               Да
                    Кресло UTFC Осака М-201                    netto                  -           12.8               Да
                    Кресло UTFC Осака М-201            package_depth                  -          370.0               Да
                    Кресло UTFC Осака М-201                   brutto                  -           14.7               Да
                    Кресло UTFC Осака М-201            typeofproduct                  -              К               Да
                    Кресло UTFC Осака М-201         recommended_load       min=-, max=-  min=-, max=90               Да
                    Кресло UTFC Осака М-201                 max_load       min=-, max=- min=-, max=120               Да
                    Кресло UTFC Осака М-201            package_width                630           14.7               Да
                    Кресло UTFC Осака М-201            package_depth                370            630               Да
                    Кресло UTFC Осака М-201           package_height                630          370.0               Да
                    Кресло UTFC Осака М-201                   volume               0,15          630.0               Да
                    Кресло UTFC Санда М-207            package_width                  -            840               Да
                    Кресло UTFC Санда М-207              minpromtorg                  -              -               Да
                    Кресло UTFC Санда М-207                   volume                  -           0.16               Да
                    Кресло UTFC Санда М-207                 skeleton                  -   немонолитный               Да
                    Кресло UTFC Санда М-207           package_height                  -          650.0               Да
                    Кресло UTFC Санда М-207                    netto                  -           11.8               Да
                    Кресло UTFC Санда М-207            package_depth                  -          270.0               Да
                    Кресло UTFC Санда М-207                   brutto                  -           13.8               Да
                    Кресло UTFC Санда М-207            typeofproduct                  -              К               Да
                    Кресло UTFC Санда М-207         recommended_load       min=-, max=-  min=-, max=90               Да
                    Кресло UTFC Санда М-207                 max_load       min=-, max=- min=-, max=120               Да
                    Кресло UTFC Санда М-207            package_width                840           13.8               Да
                    Кресло UTFC Санда М-207            package_depth                270            840               Да
                    Кресло UTFC Санда М-207           package_height                650          270.0               Да
                    Кресло UTFC Санда М-207                   volume               0,16          650.0               Да
                        Альт М-811 BLACK PL            package_width                  -              -               Да
                        Альт М-811 BLACK PL              minpromtorg                  -              +               Да
                        Альт М-811 BLACK PL                   volume                  -              -               Да
                        Альт М-811 BLACK PL                 skeleton                  -   немонолитный               Да
                        Альт М-811 BLACK PL           package_height                  -              -               Да
                        Альт М-811 BLACK PL                    netto                  -          10.35               Да
                        Альт М-811 BLACK PL            package_depth                  -              -               Да
                        Альт М-811 BLACK PL                   brutto                  -              -               Да
