fullname,category,article_number,images,Footing,Armrests,Gas_lift,Mechanism,Features,Rollers,Specifications,Extras,Metadata,Link_arm
Кресло UTFC Онтарио М-105 пластик/хром (черный),,M105_ontario_pl_ch,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b87/403o4zw336fn7z2cbjy927bqwkciu0li.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e75/kqrla3kvzwbteltow4xtg4n3vfpt915m.webp; https://utfc.ru/upload/resize_cache/iblock/e75/140_140_0/kqrla3kvzwbteltow4xtg4n3vfpt915m.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/48c/zy2xb1v2ema05zqdx5rj0xo87xlvhnx5.webp; https://utfc.ru/upload/resize_cache/iblock/48c/140_140_0/zy2xb1v2ema05zqdx5rj0xo87xlvhnx5.png; https://utfc.ru/upload/resize_cache/iblock/095/140_140_0/wrlf3y5mw53df3pdfkw1zvb5ldexnbvf.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/095/wrlf3y5mw53df3pdfkw1zvb5ldexnbvf.webp; https://utfc.ru/upload/resize_cache/iblock/b87/140_140_0/403o4zw336fn7z2cbjy927bqwkciu0li.png; https://utfc.ru/upload/resize_cache/iblock/41d/140_140_0/q0hiyy8vlljjsg1p6x78u1zp0f4kd1vg.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/41d/q0hiyy8vlljjsg1p6x78u1zp0f4kd1vg.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""700 мм"", ""Высота:"": ""1180-1240 мм"", ""Глубина:"": ""700 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""660 мм"", ""Глубина упаковки:"": ""340 мм"", ""Вес брутто:"": ""23,3 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,2 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""660 мм"", ""Глубина упаковки:"": ""340 мм"", ""Вес брутто:"": ""23,3 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,2 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/m105_ontario_pl_ch/
Кресло СН-301 Кайман Комфорт В BL Ср S-0422 (темно-серый),,kayman_comfort_v_bl,https://utfc.ru/upload/resize_cache/iblock/b0b/140_140_0/yazt9njwa26z2nvqb6ngffyerx5clzjt.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/16b/uwjopejlswh5ps43fszx7h4z4gsbbej2.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b0b/yazt9njwa26z2nvqb6ngffyerx5clzjt.webp; https://utfc.ru/upload/resize_cache/iblock/372/140_140_0/7z35j2iv6wg41vrcjqicnmak1p5vvgwo.png; https://utfc.ru/upload/resize_cache/iblock/486/140_140_0/2qog03vu2xvr7ouofa56zrwa0rl3ym4p.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/d87/9v2adhvcbgk8mxjmim4eoojakogeuzww.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/486/2qog03vu2xvr7ouofa56zrwa0rl3ym4p.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/372/7z35j2iv6wg41vrcjqicnmak1p5vvgwo.webp; https://utfc.ru/upload/resize_cache/iblock/d87/140_140_0/9v2adhvcbgk8mxjmim4eoojakogeuzww.png; https://utfc.ru/upload/resize_cache/iblock/16b/140_140_0/uwjopejlswh5ps43fszx7h4z4gsbbej2.png,,,,,,,"{""Размер:"": {""Ширина:"": ""570 мм"", ""Высота:"": ""1090-1190 мм"", ""Глубина:"": ""635 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""20 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,25 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""20 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,25 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/kayman_comfort_v_bl/
Кресло UTFC Канзас М-111 пластик/хром (черный),,M111_kanzas_pl_ch,https://utfc.ru/upload/resize_cache/iblock/513/140_140_0/kpo2hadezc4txs1dj0nlkxoeks3ys81a.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/513/kpo2hadezc4txs1dj0nlkxoeks3ys81a.webp; https://utfc.ru/upload/resize_cache/iblock/f5a/140_140_0/81qkaa5j3pdn39rqa3qmryzzneugtnmj.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f5a/81qkaa5j3pdn39rqa3qmryzzneugtnmj.webp; https://utfc.ru/upload/resize_cache/iblock/eb8/140_140_0/58kyl6igw4bdlhp2s9d84upjc12s73q4.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/125/i4rli28gnexe2f6bmggl8uw09xi1sw0n.webp; https://utfc.ru/upload/resize_cache/iblock/284/140_140_0/8vlfpnp5nofv5y6cjbrv3mogoejoh4rk.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/284/8vlfpnp5nofv5y6cjbrv3mogoejoh4rk.webp; https://utfc.ru/upload/resize_cache/iblock/125/140_140_0/i4rli28gnexe2f6bmggl8uw09xi1sw0n.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/eb8/58kyl6igw4bdlhp2s9d84upjc12s73q4.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""705 мм"", ""Высота:"": ""1220-1280 мм"", ""Глубина:"": ""690 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""920 мм"", ""Высота упаковки:"": ""660 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""24,8 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,24 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""920 мм"", ""Высота упаковки:"": ""660 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""24,8 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,24 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/m111_kanzas_pl_ch/
Кресло СН-277 Бостон В Айс хром Moderno 02 (серый),,boston_v_ch,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/72b/e7iqtd5n8wxk6gi63e5e6gkkuojpkkmf.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/32e/q80gfztqxh5ovpdcwxw3lq89mvgp0rwp.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/df4/2nqqs8v4o9oim4kgv26e2r51nt0r9bx8.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a4e/48j1kxba0d2re5sl4f6fgnle6q90c6ux.webp; https://utfc.ru/upload/resize_cache/iblock/df4/140_140_0/2nqqs8v4o9oim4kgv26e2r51nt0r9bx8.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/cc6/f3fph0uyri1c2nszwtbh46x5nwfoibx8.webp; https://utfc.ru/upload/resize_cache/iblock/a4e/140_140_0/48j1kxba0d2re5sl4f6fgnle6q90c6ux.png; https://utfc.ru/upload/resize_cache/iblock/72b/140_140_0/e7iqtd5n8wxk6gi63e5e6gkkuojpkkmf.png; https://utfc.ru/upload/resize_cache/iblock/cc6/140_140_0/f3fph0uyri1c2nszwtbh46x5nwfoibx8.png; https://utfc.ru/upload/resize_cache/iblock/32e/140_140_0/q80gfztqxh5ovpdcwxw3lq89mvgp0rwp.png,,,,,,,"{""Размер:"": {""Ширина:"": ""640 мм"", ""Высота:"": ""1150-1250 мм"", ""Глубина:"": ""660 мм"", ""Нагрузка:"": ""до 180 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""910 мм"", ""Высота упаковки:"": ""690 мм"", ""Глубина упаковки:"": ""270 мм"", ""Вес брутто:"": ""15,9 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,17 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""910 мм"", ""Высота упаковки:"": ""690 мм"", ""Глубина упаковки:"": ""270 мм"", ""Вес брутто:"": ""15,9 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,17 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/boston_v_ch/
Кресло СН-303 Кайман Трио Н/п BL S-0422 (темно-серый),,ch303_kayman_trio_np_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/aad/or2ts0q9iamm6xpljyua3oy3aedeaog3.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/dba/01zolpccuuzykycv89y7emc26z6nm0v7.webp; https://utfc.ru/upload/resize_cache/iblock/dba/140_140_0/01zolpccuuzykycv89y7emc26z6nm0v7.png; https://utfc.ru/upload/resize_cache/iblock/202/140_140_0/356lckglm10x2n77xy55xbs2m0uto06x.png; https://utfc.ru/upload/resize_cache/iblock/aad/140_140_0/or2ts0q9iamm6xpljyua3oy3aedeaog3.png; https://utfc.ru/upload/resize_cache/iblock/4a2/140_140_0/zgl2wwfew7mgjzk8h3z05rj1vhetsjvd.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/4a2/zgl2wwfew7mgjzk8h3z05rj1vhetsjvd.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/202/356lckglm10x2n77xy55xbs2m0uto06x.webp; https://utfc.ru/upload/resize_cache/iblock/a7e/140_140_0/m0nfu0k4tbt73w7w4sh3zfjuiflrw7n3.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/a7e/m0nfu0k4tbt73w7w4sh3zfjuiflrw7n3.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""560 мм"", ""Высота:"": ""920 мм"", ""Глубина:"": ""610 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""790 мм"", ""Высота упаковки:"": ""680 мм"", ""Глубина упаковки:"": ""400 мм"", ""Вес брутто:"": ""16,1 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""790 мм"", ""Высота упаковки:"": ""680 мм"", ""Глубина упаковки:"": ""400 мм"", ""Вес брутто:"": ""16,1 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/ch303_kayman_trio_np_bl/
Кресло СН-301 Кайман Комфорт Н/п BL S-0422 (темно-серый),,kayman_comfort_np_bl,https://utfc.ru/upload/resize_cache/iblock/481/140_140_0/k9wf5l8p56zxfecrvi0cno09yn1988yd.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/93a/0g7s15g3a1v38u8e97vc7x7wph0avdlv.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e8d/a8kbjdsr2iq776shjhn5mnono49j43v0.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/481/k9wf5l8p56zxfecrvi0cno09yn1988yd.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/9ed/a99jl2vkd6iaq871pxqi6xpmmd7pxjia.webp; https://utfc.ru/upload/resize_cache/iblock/93a/140_140_0/0g7s15g3a1v38u8e97vc7x7wph0avdlv.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/bbd/3brr7y19wwozsu8q5fw5jfmwcecq7uzz.webp; https://utfc.ru/upload/resize_cache/iblock/bbd/140_140_0/3brr7y19wwozsu8q5fw5jfmwcecq7uzz.png; https://utfc.ru/upload/resize_cache/iblock/9ed/140_140_0/a99jl2vkd6iaq871pxqi6xpmmd7pxjia.png; https://utfc.ru/upload/resize_cache/iblock/e8d/140_140_0/a8kbjdsr2iq776shjhn5mnono49j43v0.png,,,,,,,"{""Размер:"": {""Ширина:"": ""570 мм"", ""Высота:"": ""915 мм"", ""Глубина:"": ""610 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""790 мм"", ""Высота упаковки:"": ""680 мм"", ""Глубина упаковки:"": ""400 мм"", ""Вес брутто:"": ""15 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""790 мм"", ""Высота упаковки:"": ""680 мм"", ""Глубина упаковки:"": ""400 мм"", ""Вес брутто:"": ""15 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/kayman_comfort_np_bl/
Кресло СН-277 Бостон В пластик 727 С73 (серый),,boston_v_pl727,https://utfc.ru/upload/resize_cache/iblock/960/140_140_0/s0r9m61905qel5g3hxxnik5t37cei9ah.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b58/owofuqqcatevvjcdnqb83fmsyimfw9n4.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/d4c/585rvmkxdl42jy3rgk7dql72w17ltrt0.webp; https://utfc.ru/upload/resize_cache/iblock/b58/140_140_0/owofuqqcatevvjcdnqb83fmsyimfw9n4.png; https://utfc.ru/upload/resize_cache/iblock/d4c/140_140_0/585rvmkxdl42jy3rgk7dql72w17ltrt0.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f27/arjye12bfkr1xhdvtmn2bj3z28l9k2g8.webp; https://utfc.ru/upload/resize_cache/iblock/f40/140_140_0/j8w9k0r6easveia5dksz032s3sda3783.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f40/j8w9k0r6easveia5dksz032s3sda3783.webp; https://utfc.ru/upload/resize_cache/iblock/f27/140_140_0/arjye12bfkr1xhdvtmn2bj3z28l9k2g8.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/960/s0r9m61905qel5g3hxxnik5t37cei9ah.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""655 мм"", ""Высота:"": ""1110-1210 мм"", ""Глубина:"": ""690 мм"", ""Нагрузка:"": ""до 180 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""910 мм"", ""Высота упаковки:"": ""690 мм"", ""Глубина упаковки:"": ""270 мм"", ""Вес брутто:"": ""14,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,17 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""910 мм"", ""Высота упаковки:"": ""690 мм"", ""Глубина упаковки:"": ""270 мм"", ""Вес брутто:"": ""14,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,17 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/boston_v_pl727/
Кресло UTFC Онтарио М-405 Н/п пластик/хром (черный),,M105_ontario_np_pl_ch,https://utfc.ru/upload/resize_cache/iblock/908/140_140_0/8xo5gs2bd1xug60m3j10p58bi05o27on.png; https://utfc.ru/upload/resize_cache/iblock/383/140_140_0/ottqd3ffku3ddy11y8i25foqz3bh97g4.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/728/pfmxq7gw0urr3vwnc4hvfhe9askg1riv.webp; https://utfc.ru/upload/resize_cache/iblock/338/140_140_0/r7f1d2ydaxk2nwufhe3xyy14eyp085aq.png; https://utfc.ru/upload/resize_cache/iblock/728/140_140_0/pfmxq7gw0urr3vwnc4hvfhe9askg1riv.png; https://utfc.ru/upload/resize_cache/iblock/2c3/140_140_0/svka55tz3505luiph7jfu5yd35g22rpq.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/383/ottqd3ffku3ddy11y8i25foqz3bh97g4.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/2c3/svka55tz3505luiph7jfu5yd35g22rpq.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/338/r7f1d2ydaxk2nwufhe3xyy14eyp085aq.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/908/8xo5gs2bd1xug60m3j10p58bi05o27on.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""675 мм"", ""Высота:"": ""1055 мм"", ""Глубина:"": ""700 мм"", ""Нагрузка:"": ""до 120 кг"", ""Каркас:"": ""Немонолитный"", ""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""18,6 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""18,6 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/m105_ontario_np_pl_ch/
Кресло СН-303 Кайман Трио В BL Ср S-0422 (темно-серый),,ch303_kayman_trio_v_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/97e/7b79jsulbnijgv5gt7w44m2x0zf00ijo.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/546/an4jpxz1yse30qzdyvp3v6qums0x5nrp.webp; https://utfc.ru/upload/resize_cache/iblock/546/140_140_0/an4jpxz1yse30qzdyvp3v6qums0x5nrp.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/4eb/4wyurag62hkpl35lr2k70v647no2cs6r.webp; https://utfc.ru/upload/resize_cache/iblock/4eb/140_140_0/4wyurag62hkpl35lr2k70v647no2cs6r.png; https://utfc.ru/upload/resize_cache/iblock/97e/140_140_0/7b79jsulbnijgv5gt7w44m2x0zf00ijo.png; https://utfc.ru/upload/resize_cache/iblock/431/140_140_0/ng1sbv3vh2n0iifhgo2ns9oahp5rhg06.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/431/ng1sbv3vh2n0iifhgo2ns9oahp5rhg06.webp; https://utfc.ru/upload/resize_cache/iblock/7ba/140_140_0/dm0216r2ywqdnjeej78hwuxbxbn465hc.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/7ba/dm0216r2ywqdnjeej78hwuxbxbn465hc.webp,,,,,,,"{""Размер:"": {""Ширина:"": ""570 мм"", ""Высота:"": ""1110-1210 мм"", ""Глубина:"": ""660 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""17,1 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,25 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""17,1 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,25 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/ch303_kayman_trio_v_bl/
Кресло СН-303 Кайман Трио Н BL Ср S-0422 (темно-серый),,ch303_kayman_trio_n_bl,https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/bb2/u22vgkbt1vknn5js48d0femdjhjzd6cp.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/43c/2bu639j88zn4719pw6gj1yh04givys6n.webp; https://utfc.ru/upload/resize_cache/iblock/e11/140_140_0/8vk47qect3x6z0fff3pd7j3o4n98qi3a.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/94d/cyk9shxb3b9dv3cirxs2wt1wokahac3u.webp; https://utfc.ru/upload/resize_cache/iblock/94d/140_140_0/cyk9shxb3b9dv3cirxs2wt1wokahac3u.png; https://utfc.ru/upload/resize_cache/iblock/43c/140_140_0/2bu639j88zn4719pw6gj1yh04givys6n.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/01d/gzvnfd8plx0tx3j8h57pg1an6j22w7ju.webp; https://utfc.ru/upload/resize_cache/iblock/01d/140_140_0/gzvnfd8plx0tx3j8h57pg1an6j22w7ju.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/e11/8vk47qect3x6z0fff3pd7j3o4n98qi3a.webp; https://utfc.ru/upload/resize_cache/iblock/bb2/140_140_0/u22vgkbt1vknn5js48d0femdjhjzd6cp.png,,,,,,,"{""Размер:"": {""Ширина:"": ""560 мм"", ""Высота:"": ""970-1070 мм"", ""Глубина:"": ""590 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""16,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""16,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/ch303_kayman_trio_n_bl/
,,,,,,,,,,,,,https://utfc.ru/catalog/
Кресло СН-301 Кайман Комфорт Н BL Ср S-0422 (темно-серый),,kayman_comfort_n_bl,https://utfc.ru/upload/resize_cache/iblock/b4c/140_140_0/9wa8xoekwrumjpkwzii5xof6d29w5th6.png; https://utfc.ru/upload/resize_cache/iblock/035/140_140_0/n0vsljjnr7c31k54i6l4ogg80o3wbkz0.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/b4c/9wa8xoekwrumjpkwzii5xof6d29w5th6.webp; https://utfc.ru/upload/resize_cache/iblock/f17/140_140_0/skps0aobte3pw83z3xzq8voq13jjve5g.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/965/g1evj2eqatd8a9d9zdy7l406i6bc5kcv.webp; https://utfc.ru/upload/resize_cache/iblock/965/140_140_0/g1evj2eqatd8a9d9zdy7l406i6bc5kcv.png; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/8a6/ewmzsdf5vngookq0r2cesct2w517qoje.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/035/n0vsljjnr7c31k54i6l4ogg80o3wbkz0.webp; https://utfc.ru/upload/dev2fun.imagecompress/webp/iblock/f17/skps0aobte3pw83z3xzq8voq13jjve5g.webp; https://utfc.ru/upload/resize_cache/iblock/8a6/140_140_0/ewmzsdf5vngookq0r2cesct2w517qoje.png,,,,,,,"{""Размер:"": {""Ширина:"": ""580 мм"", ""Высота:"": ""945-1045 мм"", ""Глубина:"": ""625 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""16,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""780 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""16,7 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,22 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/kayman_comfort_n_bl/
Кресло СН-303 Кайман Трио В soft2 хром Ср S-0422 (темно-серый),,ch303_kayman_trio_v_soft2_ch,https://utfc.ru/upload/iblock/653/wqi3juy4d99telydwg44ejw36ctuhiku.png; https://utfc.ru/upload/iblock/17b/sllfgwu9rpu8tq03rjxhm130x8btok4q.png; https://utfc.ru/upload/resize_cache/iblock/167/140_140_0/8lvoeg5v49b3ecnarbmkizjqyobrfugg.png; https://utfc.ru/upload/resize_cache/iblock/17b/140_140_0/sllfgwu9rpu8tq03rjxhm130x8btok4q.png; https://utfc.ru/upload/resize_cache/iblock/94d/140_140_0/5oneh61c5dmhljnh33zcgcv797kkskdr.png; https://utfc.ru/upload/resize_cache/iblock/087/140_140_0/duc70bfigdkbs3k05e2qd7hlmtmvmzvu.png; https://utfc.ru/upload/iblock/167/8lvoeg5v49b3ecnarbmkizjqyobrfugg.png; https://utfc.ru/upload/iblock/94d/5oneh61c5dmhljnh33zcgcv797kkskdr.png; https://utfc.ru/upload/resize_cache/iblock/653/140_140_0/wqi3juy4d99telydwg44ejw36ctuhiku.png; https://utfc.ru/upload/iblock/087/duc70bfigdkbs3k05e2qd7hlmtmvmzvu.png,,,,,,,"{""Размер:"": {""Ширина:"": ""570 мм"", ""Высота:"": ""1110-1210 мм"", ""Глубина:"": ""660 мм"", ""Нагрузка:"": ""до 150 кг"", ""Каркас:"": ""Монолитный"", ""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""17,1 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,25 м.куб""}, ""Размер упаковки:"": {""Ширина упаковки:"": ""900 мм"", ""Высота упаковки:"": ""670 мм"", ""Глубина упаковки:"": ""390 мм"", ""Вес брутто:"": ""17,1 кг"", ""Материал упаковки:"": ""Гофрокартон"", ""Объём:"": ""0,25 м.куб""}}",,"{""Price"": """", ""Availability"": ""OutOfStock""}",https://utfc.ru/catalog/boss_chairs/ch303_kayman_trio_v_soft2_ch/
