Название,Основание,Подлокотники,Газлифт,Механизм,Особенности,Ролики
Кресло UTFC Осака М-201 красный пластик (красный),"Пятилучье пластиковое М-201 PL, покрытие матовое, диаметр 680мм, (красный)",Подлокотники регулируемые пластиковые Осака М-201,Высококачественный газ-лифт 3 класса Germany DIN 4550 чёрный чёрный,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,Нейлоновые ролики 55 мм
Кресло UTFC Осака М-201 серый пластик (серый),"Пятилучье пластиковое М-201 PL, покрытие матовое, диаметр 680мм, (серый)",Подлокотники регулируемые пластиковые Осака М-201,Высококачественный газ-лифт 3 класса Germany DIN 4550 чёрный чёрный,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,Нейлоновые ролики 55 мм
Кресло UTFC Мориока М-242 серый пластик (серый),"Пятилучье пластиковое М-242 PL, покрытие матовое, диаметр 640мм, (серый)",Подлокотники нерегулируемые пластиковые Мориока М-242,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.","Дизайнерский каркас. Легкая, надежная конструкция.",Нейлоновые серые ролики 50 мм
Каталог офисных кресел,,,,,,
Кресло UTFC Кофу М-231 черный пластик (черный),"Пятилучье пластиковое М-231 PL, покрытие матовое, диаметр 640мм, (черный)",Подлокотники регулируемые пластиковые Кофу М-231,,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",Регулируемая по высоте и глубине поддержка поясницы,
Кресло UTFC Санда М-207 серый пластик (серый),"Пятилучье пластиковое М-207 PL, покрытие матовое, диаметр 660мм, (серый)",Подлокотники нерегулируемые пластиковые Санда М-207,Высококачественный газ-лифт 3 класса Germany DIN 4550 чёрный,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,Полиуретановые черные ролики 60 мм
Кресло UTFC Осака М-201 черный пластик (черный),"Пятилучье пластиковое М-201 PL, покрытие матовое, диаметр 680мм, (черный)",Подлокотники регулируемые пластиковые Осака М-201,Высококачественный газ-лифт 3 класса Germany DIN 4550 чёрный чёрный,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,Нейлоновые ролики 55 мм
Кресло UTFC Рекорд М-878 черный пластик (черный),"Пятилучье пластиковое с узкими лучами, d=640 мм",Нерегулируемые черные пластиковые подлокотники с мягкими накладками для кресла Рекорд,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с черным полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло UTFC Киото М-250 черный пластик (черный),"Пятилучье пластиковое М-250 PL, покрытие матовое, диаметр 680мм, (черный)",Подлокотники 2D регулируемые пластиковые Киото М-250,Высококачественный газ-лифт 3 класса Germany DIN 4550 чёрный,"Синхронный механизм с фиксацией в 3-х положениях, слайд система - регулировка глубины сиденья до 5 см.","Независимая зона поясничной поддержки, регулировка сиденья по глубине на 5 см",Полиуретановые черные ролики 60 мм
Кресло UTFC Санда М-207 черный пластик (черный),"Пятилучье пластиковое М-207 PL, покрытие матовое, диаметр 660мм, (черный)",Подлокотники нерегулируемые пластиковые Санда М-207,Высококачественный газ-лифт 3 класса Germany DIN 4550 чёрный,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,Полиуретановые черные ролики 60 мм
Кресло UTFC Мориока М-242 черный пластик (черный),"Пятилучье пластиковое М-242 PL, покрытие матовое, диаметр 640мм, (черный)",Подлокотники нерегулируемые пластиковые Мориока М-242,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.","Дизайнерский каркас. Легкая, надежная конструкция.",Нейлоновые ролики 50 мм
Кресло UTFC Мориока М-242 зеленый пластик (зеленый),"Пятилучье пластиковое М-242 PL, покрытие матовое, диаметр 640мм, (зеленый)",Подлокотники нерегулируемые пластиковые Мориока М-242,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.","Дизайнерский каркас. Легкая, надежная конструкция.",Нейлоновые ролики 50 мм
Кресло UTFC Мориока М-242 красный пластик (красный),"Пятилучье пластиковое М-242 PL, покрытие матовое, диаметр 640мм, (красный)",Подлокотники нерегулируемые пластиковые Мориока М-242,Высококачественный газ-лифт 3 класса Germany DIN 4550,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.","Дизайнерский каркас. Легкая, надежная конструкция.",Нейлоновые ролики 50 мм
Кресло UTFC Профи М-900 с подголовником черный пластик (черный),Пятилучье пластиковое d=700 мм,"3D-подлокотник с полиуретановой накладкой регулируется по высоте и ширине, накладка  регулируется по расположению относительно сидения.","Газ-лифт 4 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм., черный","Синхронный механизм Epron обеспечивает регулировку наклона и фиксации спинки в 5 положениях,  регулировку сидения по глубине в 7 положениях, регулировку кресла по  высоте.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-709 Тесла белый пластик TG Ср Е11-к/D47/Е11-к (черный),Пятилучье с пластиковыми вставками Тесла (белый),Нерегулируемые белые пластиковые подлокотники для Тесла,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло UTFC Оптима М-901 черный пластик (черный),,Т-образные регулируемые по высоте пластиковые подлокотники с мягкими накладками,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Топ-Ган с синхроплатой — механизм качания с синхроплатой обеспечивает регулировку высоты сиденья, регулировку силы отклонения спинки под вес пользователя и фиксацию спинки в рабочем положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-808 Аэро/Aero blackPL пластик Ср D26-25/NET202/D26-25 (серый),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемые подлокотники Аэро пластик черный,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",Мягкий подголовник с регулируемым наклоном для кресла Аэро,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло UTFC Оптима М-901 с подголовником черный пластик (черный),,Т-образные регулируемые по высоте пластиковые подлокотники с мягкими накладками,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Топ-Ган с синхроплатой — механизм качания с синхроплатой обеспечивает регулировку высоты сиденья, регулировку силы отклонения спинки под вес пользователя и фиксацию спинки в рабочем положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Кресло М-811 Альт/Alt blackPL Ср S-0401 (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемый подлокотник Альт пластик черный,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло UTFC Астон М-711 с подголовником белый пластик (темно-серый),Пятилучье пластиковое с узкими лучами d=640 мм,Трансформируемые белые пластиковые ударопрочные подлокотники для кресла Астон,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",Регулировка поясничной поддержки,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-805 Йота/Yota white PL TC-12 (голубой),Пятилучье хромированное d=640 мм,Нерегулируемые белые пластиковые подлокотники для кресла Йота,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло UTFC Астон М-711 с подголовником черный пластик (черный),Пятилучье пластиковое с узкими лучами d=640 мм,Трансформируемые черные пластиковые ударопрочные подлокотники для кресла Астон,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",Регулировка поясничной поддержки,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло UTFC Профи М-900 с подголовником серый пластик (серый),Пятилучье алюминиевое с узкими лучами d=700 мм,"3D-подлокотник с полиуретановой накладкой регулируется по высоте и ширине, накладка  регулируется по расположению относительно сидения.","Газ-лифт 4 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм., черный","Синхронный механизм Epron обеспечивает регулировку наклона и фиксации спинки в 5 положениях,  регулировку сидения по глубине в 7 положениях, регулировку кресла по  высоте.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-500 Гарвард хром Ср Е11-к/TW-01/Е11-к/Е11-к (черный),Пятилучье хромированное d=640 мм,Т-образные регулируемые по высоте пластиковые подлокотники СН-500 левый и правый для Гарварда,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган с синхроплатой — механизм качания с синхроплатой обеспечивает регулировку высоты сиденья, регулировку силы отклонения спинки под вес пользователя и фиксацию спинки в рабочем положении",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло М-805 Йота/Yota grey PL TC-12 (голубой),Пятилучье хромированное d=640 мм,Нерегулируемые серые пластиковые подлокотники для кресла Йота,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-709 Тесла черный пластик TG Ср Е11-к/D47/Е11-к (черный),Пятилучье с пластиковыми вставками Тесла (черный),Нерегулируемые черные пластиковые подлокотники для Тесла,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло М-805 Йота/Yota black PL TC-01 (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемые черные пластиковые подлокотники для кресла Йота,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-500 Гарвард Е11-к/TW-01/Е11-к/Е11-к (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Т-образные регулируемые по высоте пластиковые подлокотники СН-500 левый и правый для Гарварда,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Топ-Ган с синхроплатой — механизм качания с синхроплатой обеспечивает регулировку высоты сиденья, регулировку силы отклонения спинки под вес пользователя и фиксацию спинки в рабочем положении",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло М-806 Хэнди/Handy blackPL Ср JD-10/D26-28 (голубой/черный),Пятилучье пластиковое с узкими лучами d=660 мм,Нерегулируемые черные пластиковые подлокотники для кресла Хэнди,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Вальтер Т-01 TW-01/Z06 (черный/синий),Пятилучье пластиковое d=580 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Ультра Н Рондо хром TW-72/Z71 (серый),Пятилучье хромированное d=700 мм,Подлокотник Рондо пластиковый,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Ультра Н Т-01 PL660 TW-72/Z71 (серый),Пятилучье пластиковое d=660 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Кресло М-807 Квадро/Kvadro blackPL Ср NET11/E11-к (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемый подлокотник Квадро пластик черный,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Ультра Н Рондо PL660 TW-72/Z71 (серый),Пятилучье пластиковое d=660 мм,Подлокотник Рондо пластиковый,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Вальтер Рондо TW-72/Е72-к (серый),Пятилучье пластиковое d=580 мм,Подлокотник Рондо пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-807 Квадро/Kvadro whitePL хром Ср NET11/E11-к (черный),Пятилучье хромированное Альфа 600 мм,Нерегулируемый подлокотник Квадро пластик белый,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло СН-599 Изи TW-01/Е11-к (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Подлокотник Рондо пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-503 Дэли Н/п хром TW-72/Е72-к/Е72-к (серый),"Полозья металлические Нео, защитно-декоративное покрытие никель-хром, d=25х2 мм",Нерегулируемые белые пластиковые подлокотники для СН-503 Дэли,,,,
Кресло СН-696 Микс Н/п Нео СН TW-01/Е11-к (черный),"Полозья металлические Нео, защитно-декоративное покрытие никель-хром, d=25х2 мм",Нерегулируемые черные пластиковые подлокотники для кресла CH 696 Микс,,,,
Кресло СН-800 Энжел черный Ср TW-01/Е11-к (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Нерегулируемые черные пластиковые подлокотники для кресла Энжел,,"Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-800 Энжел белый Ср TW-71/Е71-к (серебристый),"Пятилучье Арктика, d=660 мм (белый)",Нерегулируемые белые пластиковые подлокотники для кресла Энжел,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Каталог офисных кресел,,,,,,
Кресло СН-696 Микс хром TG TW-01/С11 (черный),Пятилучье хромированное d=600 мм,Нерегулируемые черные пластиковые подлокотники для кресла CH 696 Микс,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-696 Микс пластик TW-01/Е11-к (черный),Пятилучье пластиковое d=580 мм,Нерегулируемые черные пластиковые подлокотники для кресла CH 696 Микс,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-696 Микс Н/п Нео BL TW-72/Е72-к (серый),"Полозья металлические Нео, защитно-декоративное порошковое покрытие черного цвета, d=25х2 мм",Нерегулируемые черные пластиковые подлокотники для кресла CH 696 Микс,,,,
Кресло СН-503 Дэли белый Ср ТW-01/Е11-к/Е11-к (черный),"Пятилучье Арктика, d=660 мм (белый)",Нерегулируемые белые пластиковые подлокотники для СН-503 Дэли,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло СН-503 Дэли белый хром Ср ТW-01/Е11-к/Е11-к (черный),Пятилучье хромированное d=640 мм,Нерегулируемые белые пластиковые подлокотники для СН-503 Дэли,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло СН-800 Энжел белый хром Ср TW-71/Е71-к (серебристый),Пятилучье хромированное Альфа 640 мм,Нерегулируемые белые пластиковые подлокотники для кресла Энжел,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло СН-696 Микс пластик TG TW-01/Е11-к (черный),Пятилучье пластиковое d=600 мм,Нерегулируемые черные пластиковые подлокотники для кресла CH 696 Микс,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-800 Энжел черный Н/п Нео BL TW-01/Е02-к (черный/красный),"Полозья металлические Нео, защитно-декоративное порошковое покрытие черного цвета, d=25х2 мм",Нерегулируемые черные пластиковые подлокотники для кресла Энжел,,,,
Кресло СН-800 Энжел белый Н/п Нео СН TW-71/Е02-к (серебристый/красный),"Полозья металлические Нео, защитно-декоративное покрытие никель-хром, d=25х2 мм",Нерегулируемые белые пластиковые подлокотники для кресла Энжел,,,,
Кресло СН-501 Стэнфорд TW-01/Е11-к/Е11-к (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Т-образные нерегулируемые пластиковые подлокотники СН-501 левый и правый для Стэнфорда,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм",ПВМ для кресла СН-501 Стэнфорд — позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло СН-502 Кембридж Н/п TW-72/Е72-к/Е72-к (серый),"Полозья металлические Нео, защитно-декоративное порошковое покрытие черного цвета, d=25х2 мм",Нерегулируемые черные пластиковые подлокотники для СН-502 Кэмбридж,,,,
Кресло Ультра Н Нептун хром TW-01/Е11-к (черный),Пятилучье хромированное d=700 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-320 Энтер Комби Гольф Ср TW-01/Е11-к/S-0401 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло МС-040 Директ Люкс В хром Ср Z11/TW-01/Е11-к (черный),Пятилучье хромированное d=700 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Мультиблок с синхроплатой входит в комплектацию МС-040 Директ Люкс — механизм качания с синхроплатой обеспечивает регулировку высоты сиденья, регулировку силы отклонения спинки под вес пользователя и фиксацию спинки в любом положении",Нерегулируемый подголовник отделка из искусственной кожи,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Каталог офисных кресел,,,,,,
Кресло СН-320 Энтер Нептун хром Ср TW-72/Z71 (серый),Пятилучье хромированное Альфа 600 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Вальтер б/п TW-01/Z71 (черный/серый),Пятилучье пластиковое d=580 мм,,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-320 Энтер Т-01 Ср TW-53/Е11-к (синий/черный),Пятилучье пластиковое d=580 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
