Название,Основание,Подлокотники,Газлифт,Механизм,Особенности,Ролики
Стул ИЗО/ЖТС + Z11 (черный),Пятилучье пластиковое d=600 мм,"Подлокотник ИЗО +16 для стульев ИЗО, ИЗО ЛАЙТ, ИЗО/ЖТС, ИЗО/ЖТС ЛАЙТ, секций ИЗО/2,3,4","Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-804 Ситро/Citro blackPL Ср QH21-1323 (черный),"Пятилучье Арктика пластиковое с узкими лучами, d=660 мм",Монолитная конструкция спинки и подлокотника из черного ударопрочного пластика для кресла Ситро,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=230 мм, длина штока 100 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Престиж Гольф О Z11 черный,Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Овалина — механизм регулировки глубины сиденья (фиксация спинки жесткая),,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Престиж Гольф Z01 (белый),Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-804 Ситро/Citro greyPL хром Ср QH21-1325 (серый),Пятилучье хромированное d=640 мм,Монолитная конструкция спинки и подлокотника из серого ударопрочного пластика для кресла Ситро,"Газ-лифт хромированный 3 класса по стандарту Germany DIN 4550, h=230 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Стул кассира со спинкой L Z71 (серый),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Глайдеры G — пластиковая опора, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло СН-211 Пронто хром QH21-1325 (серый),Пятилучье хромированное d=600 мм,Без подлокотников,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Честер GTS хром S-0422 (темно-серый),Пятилучье хромированное d=600 мм,Без подлокотников,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Стул кассира со спинкой Z11 (черный),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт супердлинный хром (Газ-лифт хромированный 3 категории по стандарту Germany DIN 4550, h=385 мм, L(в открытом состоянии)=705 м)",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,"Кольцо для ног, устанавливается на кресла с высоким газ-лифтом для удобства пользователя. Внешний диаметр 450 мм. Внутренний диаметр соответствует диаметру стандартного газ-лифта.","Глайдеры G — пластиковая опора, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Стул кассира Z11 (черный),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт супердлинный хром (Газ-лифт хромированный 3 категории по стандарту Germany DIN 4550, h=385 мм, L(в открытом состоянии)=705 м)",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,"Кольцо для ног, устанавливается на кресла с высоким газ-лифтом для удобства пользователя. Внешний диаметр 450 мм. Внутренний диаметр соответствует диаметру стандартного газ-лифта.","Глайдеры G — пластиковая опора, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Престиж Соната О С02 (красный),Пятилучье пластиковое d=580 мм,Подлокотник Соната пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Овалина — механизм регулировки глубины сиденья (фиксация спинки жесткая),,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Престиж б/п О С11 (черный),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Овалина — механизм регулировки глубины сиденья (фиксация спинки жесткая),,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Честер GTР TG хром Ср Moderno 07 (синий),Пятилучье хромированное d=640 мм,Хромированные подлокотники с мягкими накладками,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Престиж б/п Z11 (черный),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Самба GTP СН D8 (темный орех) Z06 (синий),Пятилучье хромированное d=600 мм,,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Стул кассира L Z11 (черный),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Глайдеры G — пластиковая опора, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро б/п Moderno 02 (серый),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Кресло Самба GTP TG СН D8 (темный орех) S-0401 (черный),Пятилучье хромированное d=600 мм,,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро Люкс Нептун хром Moderno 02 (серый),Пятилучье хромированное d=600 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Самба Люкс GTP СН soft S-0422 (темно-серый) со столиком,Пятилучье хромированное d=600 мм,,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро Рондо Е53-к (темно-синий),Пятилучье пластиковое d=580 мм,Подлокотник Рондо пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро Люкс Т-01 Z11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Самба Люкс GTP TG СН soft S-0422 (темно-серый) со столиком,Пятилучье хромированное d=600 мм,,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Астек Самба EG Moderno 02 (серый),Пятилучье пластиковое d=580 мм,Подлокотник Самба пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья","Кольцо для ног, устанавливается на кресла с высоким газ-лифтом для удобства пользователя. Внешний диаметр 450 мм. Внутренний диаметр соответствует диаметру стандартного газ-лифта.","Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Честер GTР хром S-0401 (черный),Пятилучье хромированное d=640 мм,Хромированные подлокотники с мягкими накладками,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,,"Пластиковые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Кресло Мартин Люкс Т-01 Moderno 02 (серый),Пятилучье пластиковое d=580 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Каталог офисных кресел,,,,,,
Кресло Престиж Самба Z01 (белый),Пятилучье пластиковое d=580 мм,Подлокотник Самба пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Астек Гольф EG Moderno 02 (серый),Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья","Кольцо для ног, устанавливается на кресла с высоким газ-лифтом для удобства пользователя. Внешний диаметр 450 мм. Внутренний диаметр соответствует диаметру стандартного газ-лифта.","Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро Рондо ПВМ Е105-к (оранжевый),Пятилучье пластиковое d=580 мм,Подлокотник Рондо пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Престиж Нептун О хром С02 (красный),Пятилучье хромированное d=600 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",Овалина — механизм регулировки глубины сиденья (фиксация спинки жесткая),,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Мартин б/п С06 (синий),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Мартин Т-01 ПВМ С11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло С-21 Шелл GTS Софт черный/хром Ср S-0422 (темно-серый),Пятилучье хромированное d=600 мм,Без подлокотников,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм",Пиастра круглая — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой рукояткой,,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло Метро Т-01 ПВМ С11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Т-01 пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Астек Самба Z11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Самба пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Мартин Рондо ПВМ Z11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Рондо пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм",ПВМ — пружинно-винтовой механизм позволяет регулировать уровень жесткости отклонения спинки кресла и обеспечивает постоянный контакт спины пользователя со спинкой кресла,,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Мартин Рондо С11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Рондо пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Мартин Самба Z11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Самба пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-902 Бэрри Ср Moderno 07 (синий),Пятилучье пластиковое d=600 мм,"Нерегулируемые пластиковые S-образные, для кресла Бэрри","Газ-лифт 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики с полиуретановым покрытием Ср, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)."
Каталог офисных кресел,,,,,,
Кресло Астек Гольф Z11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Самба Люкс GTP TG СН D8 S-0401 (черный),Пятилучье хромированное d=600 мм,,"Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло М-902 Бэрри хром Ср Moderno 07 (синий),Пятилучье хромированное d=600 мм,"Нерегулируемые пластиковые S-образные, для кресла Бэрри","Газ-лифт хром 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм","Однопозиционный механизм качания Топ-Ган регулирует высоту сиденья, обеспечивает режим свободного качания и фиксацию каркаса в рабочем положении.",,"Пластиковые белые ролики с полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм"
Кресло Мартин Гольф Z11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло UTFC С-01 Кидс/KID's (зеленый),"Пятилучье металлическое крашеное, d=480, цвет белый",Без подлокотников,"Газ-лифт 3 категории по стандарту Germany DIN 4550, h=260 мм, длина штока 120 мм, белый",Пиастра — механизм регулировки высоты сиденья с помощью стальной ручки с пластиковой лопаткой,"Пластиковая спинка для кресла Кидс в цвет ткани (синий, красный, розовый, бирюзовый)","Пластиковые ролики с цветным полиуретановым покрытием, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США). Используются для модели Кидс С-01 (синий, красный, розовый, бирюзовый)"
Кресло Астек б/п Z11 (черный),Пятилучье пластиковое d=580 мм,Без подлокотников,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро Самба Z21 (бежевый),Пятилучье пластиковое d=580 мм,Подлокотник Самба пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Мартин Люкс Нептун хром С11 (черный),Пятилучье хромированное d=600 мм,Подлокотник Нептун пластиковый с алюминиевой вставкой,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","Синхромеханизм кресла с двумя рычагами. Один рычаг для регулировки высоты подъема кресла, второй рычаг позволяет свободно менять положение тела, обеспечивая постоянный контакт спины пользователя со спинкой кресла, а также фиксирует угол наклона спинки в любом положении",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
Кресло Метро Гольф С11 (черный),Пятилучье пластиковое d=580 мм,Подлокотник Гольф пластиковый,"Газ-лифт 2 категории по стандарту Germany DIN 4550, h=290 мм, длина штока 140 мм","СРТ (ЦПТ) — механизм регулировки угла наклона, высоты спинки и глубины сиденья",,"Пластиковые ролики, открытый чехол, d колеса 50 мм, d штока 11 мм. Стандарт BIFMA 5,1 (США)"
